age,gender,annual_income,policy_type,premium_amount,incident_type,incident_hour,num_witnesses,police_report,previous_claims,vehicle_age,region_risk,claim_amount,claim_frequency,claim_to_premium_ratio,fraud_label
56,Male,1986357,Basic,41476,Fire,13,4,0,8,6,0.15171839,219284.6671,0.205128205,5.28702544,1
69,Female,1602964,Gold,31283,Collision,13,5,0,7,10,0.545366992,132194.8106,0.134615385,4.225771524,0
46,Female,789872,Gold,6769,Other,17,0,1,8,9,0.383996036,44660.9694,0.275862069,6.597868134,0
32,Male,1661742,Basic,47278,Fire,1,1,1,4,5,0.104416563,89985.91498,0.266666667,1.903335906,0
60,Male,1919109,Gold,51994,Collision,0,3,0,3,0,0.26496518,240843.7428,0.069767442,4.632144917,0
25,Female,1497391,Basic,20634,Other,20,3,0,0,6,0.296897964,44497.31924,0,2.156504761,0
38,Female,1044464,Gold,44499,Other,21,0,0,8,5,0.359655719,252982.8107,0.380952381,5.685134738,1
56,Female,577218,Basic,15965,Fire,15,3,0,3,11,0.889782019,84989.98546,0.076923077,5.32351929,1
36,Female,1609993,Basic,32566,Theft,21,3,1,3,3,0.478542278,119051.9544,0.157894737,3.655713149,1
40,Female,1014468,Basic,57196,Theft,17,5,0,3,12,0.711489151,307728.6131,0.130434783,5.3802471,0
28,Female,1503533,Premium,38143,Other,15,3,0,1,7,0.116556483,88010.34881,0.090909091,2.30737878,0
28,Female,1844220,Gold,53285,Other,22,3,0,11,6,0.83253311,310790.7573,1,5.832612504,1
41,Male,345364,Basic,24420,Collision,21,3,0,10,7,0.31629605,125148.8843,0.416666667,5.124851938,1
53,Female,727340,Premium,30236,Other,23,2,1,3,8,0.378135396,65752.21838,0.083333333,2.174633496,0
57,Female,1555097,Basic,11218,Collision,5,3,0,1,0,0.140730789,42404.93397,0.025,3.780079691,0
41,Male,1447486,Premium,54892,Collision,9,0,1,7,2,0.468723615,249923.7025,0.291666667,4.553007769,1
20,Female,529963,Basic,13495,Collision,1,5,1,6,1,0.867319095,62833.44169,2,4.656053478,0
39,Female,1225607,Basic,38853,Other,6,3,1,10,2,0.440860832,140166.324,0.454545455,3.607606208,1
19,Male,1395268,Premium,18073,Other,20,4,1,9,10,0.917744744,63548.24334,4.5,3.516197828,0
41,Female,1279037,Premium,16371,Collision,16,5,1,1,10,0.880702843,46656.72014,0.041666667,2.849961526,0
61,Male,1215930,Gold,22594,Fire,2,5,0,1,1,0.155764849,119665.0668,0.022727273,5.296320562,0
47,Male,1258048,Gold,16226,Other,19,4,1,1,10,0.374744749,46074.61368,0.033333333,2.839554646,0
55,Male,1055695,Premium,57271,Theft,11,0,0,0,5,0.919375577,308878.0948,0,5.393272246,1
19,Male,312036,Gold,15046,Fire,1,2,0,5,8,0.126828048,46721.23464,2.5,3.105226282,0
38,Female,388674,Premium,54419,Theft,6,0,1,5,1,0.789227456,173277.8558,0.238095238,3.184142594,0
50,Male,487667,Gold,56926,Other,16,2,1,0,3,0.915785181,89695.09349,0,1.575643704,1
29,Male,1934702,Basic,48809,Fire,18,1,0,10,4,0.793442259,266539.7102,0.833333333,5.460872178,1
39,Female,1089694,Gold,42117,Other,11,4,1,0,4,0.769432885,82755.41804,0,1.964893464,0
61,Male,790348,Basic,9965,Other,8,5,1,5,14,0.859020198,43690.64428,0.113636364,4.384409863,0
42,Male,1519799,Basic,51260,Fire,13,5,1,10,13,0.699210605,271139.9347,0.4,5.289503212,0
66,Male,863759,Gold,18336,Other,1,5,0,5,0,0.48078657,93084.96242,0.102040816,5.076623169,1
44,Male,1571446,Premium,24843,Fire,20,4,0,3,12,0.156479996,131386.1394,0.111111111,5.288658349,0
59,Female,1603626,Basic,22373,Other,3,4,1,2,5,0.809170701,120864.8165,0.047619048,5.402262393,0
45,Male,1527252,Basic,50452,Collision,18,2,1,8,13,0.914728275,278039.3737,0.285714286,5.510968321,1
33,Female,1109121,Gold,55089,Theft,20,5,1,5,4,0.560427815,261917.6139,0.3125,4.754444878,0
32,Female,1724149,Premium,11654,Collision,15,0,0,0,12,0.579259427,50631.26154,0,4.344539346,0
64,Male,243162,Premium,36280,Other,21,2,1,2,5,0.462958286,141412.0296,0.042553191,3.897795744,0
68,Male,473497,Gold,45110,Other,16,5,1,0,13,0.87119435,76496.20083,0,1.695770358,0
61,Male,312313,Premium,27407,Other,1,4,1,2,3,0.113322974,124824.4333,0.045454545,4.554472702,0
69,Male,228477,Gold,7358,Collision,16,4,1,1,12,0.662093695,25208.54908,0.019230769,3.426005583,1
20,Female,1928506,Gold,31583,Other,18,4,0,4,10,0.916671788,163065.5023,1.333333333,5.163078312,1
54,Female,286373,Gold,57497,Fire,7,5,1,2,5,0.192900093,219113.7939,0.054054054,3.810873505,1
68,Female,893464,Basic,33706,Theft,23,4,1,6,8,0.963248084,196663.7082,0.117647059,5.834679528,1
24,Male,918730,Basic,11360,Other,19,1,0,7,0,0.970910348,37094.82712,1,3.265389711,1
38,Female,1777415,Basic,58968,Other,5,4,1,6,14,0.936810069,275097.2217,0.285714286,4.66519505,0
26,Male,268359,Gold,8743,Theft,11,5,1,1,5,0.516291486,36262.85095,0.111111111,4.147643938,1
56,Male,1696672,Basic,12159,Theft,22,2,0,9,0,0.444673003,77057.85769,0.230769231,6.337516053,1
35,Male,1392564,Basic,37151,Theft,17,4,1,9,11,0.735352963,114254.229,0.5,3.075401174,1
21,Male,1374726,Basic,5518,Collision,1,3,0,6,6,0.386821196,21588.90665,1.5,3.912451369,0
42,Male,673919,Gold,21652,Collision,18,1,1,9,3,0.161509738,94581.11477,0.36,4.368239182,0
31,Female,1945381,Gold,17925,Other,23,5,1,2,5,0.911279947,69787.15361,0.142857143,3.893286115,1
67,Female,1558356,Gold,52578,Theft,9,4,1,6,6,0.671370454,156422.7689,0.12,2.97506122,0
26,Male,1715719,Basic,54007,Other,2,3,0,0,12,0.286439048,300130.2874,0,5.5572479,0
43,Female,1016117,Premium,59596,Other,11,5,1,1,10,0.116567705,112512.0881,0.038461538,1.887913419,0
19,Male,1037566,Basic,10475,Other,15,2,0,11,4,0.75116437,58075.3921,5.5,5.544190177,0
37,Male,551060,Basic,41953,Collision,11,1,0,9,8,0.86751993,124097.0204,0.45,2.958001106,1
45,Male,1356543,Gold,42929,Theft,7,4,0,0,7,0.465082818,68221.82299,0,1.589178015,0
64,Female,294455,Gold,47348,Other,4,2,0,8,14,0.17280839,277112.7238,0.170212766,5.852680659,0
24,Male,1709639,Basic,14886,Collision,10,5,0,1,2,0.683759114,53506.15475,0.142857143,3.594394381,0
61,Male,1423981,Basic,16465,Fire,9,3,0,1,0,0.367236147,82652.0659,0.022727273,5.019864312,0
25,Female,439646,Premium,58017,Fire,2,5,1,5,10,0.229552052,294478.2242,0.625,5.07572305,0
64,Female,389937,Premium,16221,Other,22,5,1,6,13,0.5593569,92535.36954,0.127659574,5.704664912,1
52,Female,672312,Gold,29395,Other,8,1,1,1,9,0.533659352,104063.7486,0.028571429,3.540185357,0
31,Male,1036188,Premium,7335,Theft,11,4,1,3,7,0.565093368,45288.97817,0.214285714,6.174366485,0
34,Male,585007,Premium,41442,Theft,5,2,0,2,3,0.841539091,127544.9829,0.117647059,3.077674409,0
53,Female,261192,Gold,9576,Other,18,1,1,4,6,0.536091294,39006.85252,0.111111111,4.073397297,0
67,Male,391758,Premium,52740,Collision,15,3,1,8,3,0.910486522,146553.5681,0.16,2.77879348,1
57,Female,1035165,Basic,5500,Other,20,4,0,1,6,0.857629558,22607.87167,0.025,4.110522122,0
21,Female,1483737,Premium,31675,Theft,22,1,1,4,13,0.686004354,185002.0757,1,5.840633803,1
19,Male,1012425,Gold,13083,Theft,23,3,0,7,0,0.151166672,60123.33034,3.5,4.595530867,1
23,Male,1934428,Basic,46062,Collision,13,3,1,5,0,0.878449951,229721.0982,0.833333333,4.987215018,0
59,Female,1924917,Premium,20720,Other,3,2,1,3,1,0.915014827,57905.86101,0.071428571,2.794684411,0
21,Female,486287,Basic,10543,Theft,17,5,0,9,4,0.437542421,71627.58742,2.25,6.793852548,1
46,Female,1247635,Basic,56898,Other,9,3,1,7,14,0.573536584,105845.1192,0.24137931,1.860260803,0
35,Female,915637,Premium,8276,Theft,17,3,1,2,10,0.352918604,51208.83773,0.111111111,6.187631431,1
43,Male,1355620,Premium,57237,Fire,11,5,1,3,13,0.113244701,302451.6947,0.115384615,5.284198939,0
61,Female,1753749,Gold,35635,Fire,18,0,1,10,9,0.531505955,82553.45509,0.227272727,2.316639683,1
51,Female,381062,Gold,59887,Fire,7,3,0,8,5,0.216423076,249220.3238,0.235294118,4.161509574,0
27,Female,1901270,Basic,29180,Theft,0,4,1,4,1,0.264992239,141923.6858,0.4,4.863731522,0
53,Male,656104,Gold,11613,Collision,13,1,0,5,0,0.53263973,43677.18369,0.138888889,3.761059475,0
31,Male,269351,Basic,49497,Fire,22,5,0,11,8,0.880334507,112932.1459,0.785714286,2.281595771,1
48,Female,1739164,Basic,6327,Theft,5,5,1,10,12,0.860169405,51480.95337,0.322580645,8.136708292,0
65,Male,1953935,Gold,45540,Other,13,5,0,1,14,0.968561579,161787.3335,0.020833333,3.55264237,1
32,Male,434085,Gold,15666,Fire,1,4,1,8,6,0.534412557,54995.30436,0.533333333,3.510487958,1
25,Male,958171,Gold,31255,Collision,8,5,0,7,7,0.596808019,69740.84716,0.875,2.231350093,0
31,Female,698095,Premium,25130,Collision,11,4,0,6,13,0.839904611,117545.0738,0.428571429,4.677480057,0
